"File","Line","Severity","Code","Message"
"CHANGELOG.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"CHANGELOG.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"CODE_OF_CONDUCT.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"CODE_OF_CONDUCT.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"CONTRIBUTING.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"CONTRIBUTING.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"DATA-SOURCE-NOTICES.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"DATA-SOURCE-NOTICES.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\_includes\manual-front-matter.md","11","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\_includes\manual-front-matter.md","11","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\_templates\adr.md","10","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\_templates\adr.md","10","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\_templates\architecture-document.md","11","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\_templates\architecture-document.md","11","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\_templates\coverpage.md","2","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\_templates\coverpage.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\_templates\guide.md","10","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\_templates\guide.md","10","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\_templates\reference.md","10","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\_templates\reference.md","10","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\_templates\roadmap.md","10","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\_templates\roadmap.md","10","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\_templates\standard.md","10","Error","MISSING_HEADER_BLOCK","No document metadata block was found after the first heading."
"docs\_templates\standard.md","10","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\001-project-vision.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\001-project-vision.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\002-system-overview.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\002-system-overview.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\003-high-level-architecture.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\003-high-level-architecture.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\004-package-structure.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\004-package-structure.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\005-dependency-rules.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\005-dependency-rules.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\006-layered-architecture.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\006-layered-architecture.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\007-plugin-architecture.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\007-plugin-architecture.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\008-pipeline-engine.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\008-pipeline-engine.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\009-dataset-lifecycle.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\009-dataset-lifecycle.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\010-component-interactions.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\010-component-interactions.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\011-configuration.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\011-configuration.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\012-logging.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\012-logging.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\013-exception-strategy.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\013-exception-strategy.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\014-database-architecture.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\014-database-architecture.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\015-future-architecture.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\015-future-architecture.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\016-download-and-parsing.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\016-download-and-parsing.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\017-security-and-credentials.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\017-security-and-credentials.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\018-testing-and-quality.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\018-testing-and-quality.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\019-database-persistence-and-pooling.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\019-database-persistence-and-pooling.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\020-ingestion-audit-and-provenance.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\020-ingestion-audit-and-provenance.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\021-ofgem-price-cap-architecture.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\021-ofgem-price-cap-architecture.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\022-deployment-and-environments.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\022-deployment-and-environments.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\023-operational-failure-and-recovery.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\023-operational-failure-and-recovery.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\024-architecture-traceability.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\024-architecture-traceability.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\025-manifest-driven-documentation-engine.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\025-manifest-driven-documentation-engine.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\026-openmeteo-historical-weather-architecture.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\026-openmeteo-historical-weather-architecture.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\027-octopus-energy-statement-architecture.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\027-octopus-energy-statement-architecture.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\028-shared-validation-and-jdbc-infrastructure.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\028-shared-validation-and-jdbc-infrastructure.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\ARCHITECTURE.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\ARCHITECTURE.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\CURRENT-CODE-INVENTORY.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\CURRENT-CODE-INVENTORY.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\database-concurrency.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\database-concurrency.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\DOCUMENTATION-AUDIT.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
"docs\architecture\DOCUMENTATION-AUDIT.md","3","Warning","MISPLACED_OR_LEGACY_BLOCK","Document metadata exists, but it is not in the required delimited block."
"docs\architecture\download-and-parsing.md","2","Error","MISSING_OPENING_DELIMITER","The header block does not start with --- immediately after the first heading."
