"Rule","Severity","File","Line","Message","Value"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\architecture\007-plugin-architecture.md","61","Generated documents must retain this label as text but remove the .md hyperlink.","../examples/example-plugin/README.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\architecture\014-database-architecture.md","78","Generated documents must retain this label as text but remove the .md hyperlink.","019-database-persistence-and-pooling.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\architecture\014-database-architecture.md","79","Generated documents must retain this label as text but remove the .md hyperlink.","017-security-and-credentials.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\architecture\019-database-persistence-and-pooling.md","88","Generated documents must retain this label as text but remove the .md hyperlink.","028-shared-validation-and-jdbc-infrastructure.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\architecture\025-manifest-driven-documentation-engine.md","32","Generated documents must retain this label as text but remove the .md hyperlink.","../decisions/ADR-0017-documentation-as-code.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\architecture\025-manifest-driven-documentation-engine.md","33","Generated documents must retain this label as text but remove the .md hyperlink.","../decisions/ADR-0045-documentation-delivery-baseline.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\architecture\025-manifest-driven-documentation-engine.md","34","Generated documents must retain this label as text but remove the .md hyperlink.","../decisions/ADR-0046-manifest-driven-documentation-engine.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\architecture\ARCHITECTURE.md","27","Generated documents must retain this label as text but remove the .md hyperlink.","001-project-vision.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\architecture\ARCHITECTURE.md","28","Generated documents must retain this label as text but remove the .md hyperlink.","002-system-overview.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\architecture\ARCHITECTURE.md","29","Generated documents must retain this label as text but remove the .md hyperlink.","003-high-level-architecture.md"
